Date,IT Dep.,CostElement,Country,Budget
01-02-2020,Document Management,Training,USA,"5,052"
01-03-2020,Document Management,Training,USA,"5,052"
01-04-2020,Document Management,Training,USA,"5,052"
01-05-2020,Document Management,Training,USA,"5,052"
01-06-2020,Document Management,Training,USA,"5,052"
01-07-2020,Document Management,Training,USA,"5,052"
01-08-2020,Document Management,Training,USA,"5,052"
01-09-2020,Document Management,Training,USA,"5,052"
01-10-2020,Document Management,Training,USA,"5,052"
01-11-2020,Document Management,Training,USA,"5,052"
01-12-2020,Document Management,Training,USA,"5,052"
01-01-2020,Document Management,Travel,USA,"2,937"
01-02-2020,Document Management,Travel,USA,"7,137"
01-03-2020,Document Management,Travel,USA,"5,037"
01-04-2020,Document Management,Travel,USA,"5,037"
01-05-2020,Document Management,Travel,USA,"7,137"
01-06-2020,Document Management,Travel,USA,"5,037"
01-07-2020,Document Management,Travel,USA,"5,037"
01-08-2020,Document Management,Travel,USA,"7,137"
01-09-2020,Document Management,Travel,USA,"5,037"
01-10-2020,Document Management,Travel,USA,"2,937"
01-11-2020,Document Management,Travel,USA,"5,037"
01-12-2020,Document Management,Travel,USA,"2,937"
01-01-2020,EIM,Administrative,USA,"-12,437"
01-02-2020,EIM,Administrative,USA,"-12,437"
01-03-2020,EIM,Administrative,USA,"-12,437"
01-04-2020,EIM,Administrative,USA,"-12,437"
01-05-2020,EIM,Administrative,USA,"-12,437"
01-06-2020,EIM,Administrative,USA,"-29,237"
01-07-2020,EIM,Administrative,USA,"-29,237"
01-08-2020,EIM,Administrative,USA,"-29,237"
01-09-2020,EIM,Administrative,USA,"-29,237"
01-10-2020,EIM,Administrative,USA,"-29,237"
01-11-2020,EIM,Administrative,USA,"-29,237"
01-12-2020,EIM,Administrative,USA,"-29,237"
01-01-2020,EIM,Depreciation,USA,58
01-02-2020,EIM,Depreciation,USA,58
01-03-2020,EIM,Depreciation,USA,58
01-04-2020,EIM,Depreciation,USA,58
01-05-2020,EIM,Depreciation,USA,58
01-06-2020,EIM,Depreciation,USA,58
01-07-2020,EIM,Depreciation,USA,58
01-08-2020,EIM,Depreciation,USA,58
01-09-2020,EIM,Depreciation,USA,58
01-10-2020,EIM,Depreciation,USA,58
01-11-2020,EIM,Depreciation,USA,58
01-12-2020,EIM,Depreciation,USA,58
01-01-2020,EIM,Employee Performance,USA,181
01-02-2020,EIM,Employee Performance,USA,181
01-03-2020,EIM,Employee Performance,USA,181
01-04-2020,EIM,Employee Performance,USA,181
01-05-2020,EIM,Employee Performance,USA,181
01-06-2020,EIM,Employee Performance,USA,181
01-07-2020,EIM,Employee Performance,USA,181
01-08-2020,EIM,Employee Performance,USA,181
01-09-2020,EIM,Employee Performance,USA,181
01-10-2020,EIM,Employee Performance,USA,181
01-11-2020,EIM,Employee Performance,USA,181
01-12-2020,EIM,Employee Performance,USA,181
01-01-2020,EIM,External Labor,Italy,"2,873"
01-02-2020,EIM,External Labor,Italy,"2,873"
01-03-2020,EIM,External Labor,Italy,"2,873"
01-04-2020,EIM,External Labor,Italy,"2,873"
01-05-2020,EIM,External Labor,Italy,"2,873"
01-06-2020,EIM,External Labor,Italy,"2,873"
01-01-2020,EIM,External Labor,USA,"80,762"
01-02-2020,EIM,External Labor,USA,"80,762"
01-03-2020,EIM,External Labor,USA,"80,882"
01-04-2020,EIM,External Labor,USA,"82,751"
01-05-2020,EIM,External Labor,USA,"82,361"
01-06-2020,EIM,External Labor,USA,"82,361"
01-07-2020,EIM,External Labor,USA,"77,570"
01-08-2020,EIM,External Labor,USA,"69,434"
01-09-2020,EIM,External Labor,USA,"69,374"
01-10-2020,EIM,External Labor,USA,"69,314"
01-11-2020,EIM,External Labor,USA,"69,314"
01-12-2020,EIM,External Labor,USA,"69,374"
01-01-2020,EIM,Hardware,USA,"1,625"
01-02-2020,EIM,Hardware,USA,"1,625"
01-03-2020,EIM,Hardware,USA,"1,625"
01-04-2020,EIM,Hardware,USA,"1,625"
01-05-2020,EIM,Hardware,USA,125
01-06-2020,EIM,Hardware,USA,125
01-07-2020,EIM,Hardware,USA,125
01-08-2020,EIM,Hardware,USA,125
01-09-2020,EIM,Hardware,USA,125
01-10-2020,EIM,Hardware,USA,125
01-11-2020,EIM,Hardware,USA,125
01-12-2020,EIM,Hardware,USA,125
01-01-2020,EIM,Hardware Maintenance,USA,125
01-02-2020,EIM,Hardware Maintenance,USA,125
01-03-2020,EIM,Hardware Maintenance,USA,125
01-04-2020,EIM,Hardware Maintenance,USA,125
01-05-2020,EIM,Hardware Maintenance,USA,125
01-06-2020,EIM,Hardware Maintenance,USA,125
01-07-2020,EIM,Hardware Maintenance,USA,125
01-08-2020,EIM,Hardware Maintenance,USA,125
01-09-2020,EIM,Hardware Maintenance,USA,125
01-10-2020,EIM,Hardware Maintenance,USA,125
01-11-2020,EIM,Hardware Maintenance,USA,125
01-12-2020,EIM,Hardware Maintenance,USA,125
01-01-2020,EIM,Internal Labor,Italy,"8,045"
01-02-2020,EIM,Internal Labor,Italy,"8,045"
01-03-2020,EIM,Internal Labor,Italy,"8,045"
01-04-2020,EIM,Internal Labor,Italy,"8,045"
01-05-2020,EIM,Internal Labor,Italy,"8,045"
01-06-2020,EIM,Internal Labor,Italy,"8,045"
01-07-2020,EIM,Internal Labor,Italy,"8,045"
01-08-2020,EIM,Internal Labor,Italy,"8,045"
01-09-2020,EIM,Internal Labor,Italy,"8,045"
01-10-2020,EIM,Internal Labor,Italy,"8,045"
01-11-2020,EIM,Internal Labor,Italy,"8,045"
01-12-2020,EIM,Internal Labor,Italy,"8,045"
01-01-2020,EIM,Internal Labor,USA,"1,07,123"
01-02-2020,EIM,Internal Labor,USA,"1,09,073"
01-03-2020,EIM,Internal Labor,USA,"1,18,817"
01-04-2020,EIM,Internal Labor,USA,"1,10,125"
01-05-2020,EIM,Internal Labor,USA,"1,09,950"
01-06-2020,EIM,Internal Labor,USA,"1,09,950"
01-07-2020,EIM,Internal Labor,USA,"1,10,717"
01-08-2020,EIM,Internal Labor,USA,"1,10,710"
01-09-2020,EIM,Internal Labor,USA,"1,10,283"
01-10-2020,EIM,Internal Labor,USA,"1,12,005"
01-11-2020,EIM,Internal Labor,USA,"1,10,917"
01-12-2020,EIM,Internal Labor,USA,"1,10,665"
01-01-2020,EIM,Other,USA,50
01-02-2020,EIM,Other,USA,50
01-03-2020,EIM,Other,USA,50
01-04-2020,EIM,Other,USA,50
01-05-2020,EIM,Other,USA,50
01-06-2020,EIM,Other,USA,50
01-07-2020,EIM,Other,USA,50
01-08-2020,EIM,Other,USA,50
01-09-2020,EIM,Other,USA,50
01-10-2020,EIM,Other,USA,50
01-11-2020,EIM,Other,USA,50
01-12-2020,EIM,Other,USA,50
01-01-2020,EIM,Recognition,USA,47
01-02-2020,EIM,Recognition,USA,47
01-03-2020,EIM,Recognition,USA,47
01-04-2020,EIM,Recognition,USA,47
01-05-2020,EIM,Recognition,USA,47
01-06-2020,EIM,Recognition,USA,47
01-07-2020,EIM,Recognition,USA,47
01-08-2020,EIM,Recognition,USA,47
01-09-2020,EIM,Recognition,USA,47
01-10-2020,EIM,Recognition,USA,47
01-11-2020,EIM,Recognition,USA,47
01-12-2020,EIM,Recognition,USA,47
01-01-2020,EIM,Software,USA,"7,096"
01-02-2020,EIM,Software,USA,"7,096"
01-03-2020,EIM,Software,USA,"7,096"
01-04-2020,EIM,Software,USA,"7,096"
01-05-2020,EIM,Software,USA,"7,096"
01-06-2020,EIM,Software,USA,"7,096"
01-07-2020,EIM,Software,USA,"7,096"
01-08-2020,EIM,Software,USA,"7,096"
01-09-2020,EIM,Software,USA,"7,096"
01-10-2020,EIM,Software,USA,"7,096"
01-11-2020,EIM,Software,USA,"7,096"
01-12-2020,EIM,Software,USA,"7,096"
01-01-2020,EIM,Software Maintenance,USA,"20,986"
01-02-2020,EIM,Software Maintenance,USA,"29,222"
01-03-2020,EIM,Software Maintenance,USA,"9,335"
01-04-2020,EIM,Software Maintenance,USA,"9,335"
01-05-2020,EIM,Software Maintenance,USA,"9,335"
01-06-2020,EIM,Software Maintenance,USA,"10,085"
01-07-2020,EIM,Software Maintenance,USA,"9,335"
01-08-2020,EIM,Software Maintenance,USA,"29,341"
01-09-2020,EIM,Software Maintenance,USA,"14,121"
01-10-2020,EIM,Software Maintenance,USA,"18,329"
01-11-2020,EIM,Software Maintenance,USA,"17,292"
01-12-2020,EIM,Software Maintenance,USA,"17,292"
01-01-2020,EIM,Supplies,USA,375
01-02-2020,EIM,Supplies,USA,375
01-03-2020,EIM,Supplies,USA,375
01-04-2020,EIM,Supplies,USA,375
01-05-2020,EIM,Supplies,USA,375
01-06-2020,EIM,Supplies,USA,375
01-07-2020,EIM,Supplies,USA,375
01-08-2020,EIM,Supplies,USA,375
01-09-2020,EIM,Supplies,USA,375
01-10-2020,EIM,Supplies,USA,375
01-11-2020,EIM,Supplies,USA,375
01-12-2020,EIM,Supplies,USA,375
01-01-2020,EIM,Telecomm,USA,"1,500"
01-02-2020,EIM,Telecomm,USA,"1,500"
01-03-2020,EIM,Telecomm,USA,"1,500"
01-04-2020,EIM,Telecomm,USA,"1,500"
01-05-2020,EIM,Telecomm,USA,"1,500"
01-06-2020,EIM,Telecomm,USA,"1,500"
01-07-2020,EIM,Telecomm,USA,"1,500"
01-08-2020,EIM,Telecomm,USA,"1,500"
01-09-2020,EIM,Telecomm,USA,"1,500"
01-10-2020,EIM,Telecomm,USA,"1,500"
01-11-2020,EIM,Telecomm,USA,"1,500"
01-12-2020,EIM,Telecomm,USA,"1,500"
01-01-2020,EIM,Training,USA,"2,688"
01-02-2020,EIM,Training,USA,"2,688"
01-03-2020,EIM,Training,USA,"2,688"
01-04-2020,EIM,Training,USA,"2,688"
01-05-2020,EIM,Training,USA,"2,688"
01-06-2020,EIM,Training,USA,"2,688"
01-07-2020,EIM,Training,USA,"2,688"
01-08-2020,EIM,Training,USA,"2,688"
01-09-2020,EIM,Training,USA,"2,688"
01-10-2020,EIM,Training,USA,"2,688"
01-11-2020,EIM,Training,USA,"2,688"
01-12-2020,EIM,Training,USA,"2,688"
01-01-2020,EIM,Travel,USA,"1,563"
01-02-2020,EIM,Travel,USA,"3,663"
01-03-2020,EIM,Travel,USA,"1,563"
01-04-2020,EIM,Travel,USA,"1,563"
01-05-2020,EIM,Travel,USA,"3,663"
01-06-2020,EIM,Travel,USA,"1,563"
01-07-2020,EIM,Travel,USA,"1,563"
01-08-2020,EIM,Travel,USA,"3,663"
01-09-2020,EIM,Travel,USA,"1,563"
01-10-2020,EIM,Travel,USA,"1,563"
01-11-2020,EIM,Travel,USA,"3,663"
01-12-2020,EIM,Travel,USA,"1,563"
01-01-2020,Emerging,Depreciation,Brazil,"4,909"
01-02-2020,Emerging,Depreciation,Brazil,"4,909"
01-03-2020,Emerging,Depreciation,Brazil,"4,909"
01-04-2020,Emerging,Depreciation,Brazil,"4,909"
01-05-2020,Emerging,Depreciation,Brazil,"4,909"
01-06-2020,Emerging,Depreciation,Brazil,"4,909"
01-07-2020,Emerging,Depreciation,Brazil,"4,909"
01-08-2020,Emerging,Depreciation,Brazil,"4,909"
01-09-2020,Emerging,Depreciation,Brazil,"4,909"
01-10-2020,Emerging,Depreciation,Brazil,"4,909"
01-11-2020,Emerging,Depreciation,Brazil,"4,909"
01-12-2020,Emerging,Depreciation,Brazil,"4,909"
01-01-2020,Emerging,Depreciation,Mexico,"5,590"
01-02-2020,Emerging,Depreciation,Mexico,"5,590"
01-03-2020,Emerging,Depreciation,Mexico,"5,590"
01-04-2020,Emerging,Depreciation,Mexico,"5,590"
01-05-2020,Emerging,Depreciation,Mexico,"5,590"
01-06-2020,Emerging,Depreciation,Mexico,"5,590"
01-07-2020,Emerging,Depreciation,Mexico,"5,590"
01-08-2020,Emerging,Depreciation,Mexico,"5,590"
01-09-2020,Emerging,Depreciation,Mexico,"5,590"
01-10-2020,Emerging,Depreciation,Mexico,"5,855"
01-11-2020,Emerging,Depreciation,Mexico,"5,855"
01-12-2020,Emerging,Depreciation,Mexico,"5,855"
01-01-2020,Emerging,Employee Performance,USA,18
01-02-2020,Emerging,Employee Performance,USA,18
01-03-2020,Emerging,Employee Performance,USA,18
01-04-2020,Emerging,Employee Performance,USA,18
01-05-2020,Emerging,Employee Performance,USA,18
01-06-2020,Emerging,Employee Performance,USA,18
01-07-2020,Emerging,Employee Performance,USA,18
01-08-2020,Emerging,Employee Performance,USA,18
01-09-2020,Emerging,Employee Performance,USA,18
01-10-2020,Emerging,Employee Performance,USA,18
01-11-2020,Emerging,Employee Performance,USA,18
01-12-2020,Emerging,Employee Performance,USA,18
01-01-2020,Emerging,External Labor,Brazil,"5,999"
01-02-2020,Emerging,External Labor,Brazil,"5,999"
01-03-2020,Emerging,External Labor,Brazil,"5,999"
01-04-2020,Emerging,External Labor,Brazil,"5,999"
01-05-2020,Emerging,External Labor,Brazil,"5,999"
01-06-2020,Emerging,External Labor,Brazil,"5,999"
01-07-2020,Emerging,External Labor,Brazil,"5,999"
01-08-2020,Emerging,External Labor,Brazil,"5,999"
01-09-2020,Emerging,External Labor,Brazil,"5,999"
01-10-2020,Emerging,External Labor,Brazil,"5,999"
01-11-2020,Emerging,External Labor,Brazil,"5,999"
01-12-2020,Emerging,External Labor,Brazil,"5,999"
01-01-2020,Emerging,External Labor,Mexico,"5,550"
01-02-2020,Emerging,External Labor,Mexico,"5,550"
01-03-2020,Emerging,External Labor,Mexico,"5,550"
01-04-2020,Emerging,External Labor,Mexico,"5,550"
01-05-2020,Emerging,External Labor,Mexico,"5,550"
01-06-2020,Emerging,External Labor,Mexico,"5,550"
01-07-2020,Emerging,External Labor,Mexico,"5,550"
01-08-2020,Emerging,External Labor,Mexico,"5,550"
01-09-2020,Emerging,External Labor,Mexico,"5,550"
01-10-2020,Emerging,External Labor,Mexico,"5,550"
01-11-2020,Emerging,External Labor,Mexico,"5,550"
01-12-2020,Emerging,External Labor,Mexico,"5,550"
01-01-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-02-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-03-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-04-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-05-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-06-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-07-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-08-2020,Emerging,Hardware Maintenance,Brazil,"9,804"
01-09-2020,Emerging,Hardware Maintenance,Brazil,"10,704"
01-10-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-11-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-12-2020,Emerging,Hardware Maintenance,Brazil,"4,704"
01-01-2020,Emerging,Internal Labor,Mexico,"19,108"
01-02-2020,Emerging,Internal Labor,Mexico,"19,128"
01-03-2020,Emerging,Internal Labor,Mexico,"19,207"
01-04-2020,Emerging,Internal Labor,Mexico,"19,736"
01-05-2020,Emerging,Internal Labor,Mexico,"19,736"
01-06-2020,Emerging,Internal Labor,Mexico,"19,736"
01-07-2020,Emerging,Internal Labor,Mexico,"19,734"
01-08-2020,Emerging,Internal Labor,Mexico,"19,734"
01-09-2020,Emerging,Internal Labor,Mexico,"19,734"
01-10-2020,Emerging,Internal Labor,Mexico,"19,738"
01-11-2020,Emerging,Internal Labor,Mexico,"19,738"
01-12-2020,Emerging,Internal Labor,Mexico,"18,543"
01-01-2020,Emerging,Internal Labor,USA,"8,943"
01-02-2020,Emerging,Internal Labor,USA,"8,943"
01-03-2020,Emerging,Internal Labor,USA,"8,943"
01-04-2020,Emerging,Internal Labor,USA,"8,943"
01-05-2020,Emerging,Internal Labor,USA,"8,943"
01-06-2020,Emerging,Internal Labor,USA,"8,943"
01-07-2020,Emerging,Internal Labor,USA,"8,943"
01-08-2020,Emerging,Internal Labor,USA,"8,943"
01-09-2020,Emerging,Internal Labor,USA,"8,943"
01-10-2020,Emerging,Internal Labor,USA,"8,943"
01-11-2020,Emerging,Internal Labor,USA,"8,943"
01-12-2020,Emerging,Internal Labor,USA,"8,943"
01-01-2020,Emerging,Other,Brazil,"1,478"
01-02-2020,Emerging,Other,Brazil,"1,478"
01-03-2020,Emerging,Other,Brazil,"1,478"
01-04-2020,Emerging,Other,Brazil,"1,478"
01-05-2020,Emerging,Other,Brazil,"1,478"
01-06-2020,Emerging,Other,Brazil,"1,476"
01-07-2020,Emerging,Other,Brazil,"1,476"
01-08-2020,Emerging,Other,Brazil,"1,476"
01-09-2020,Emerging,Other,Brazil,"1,476"
01-10-2020,Emerging,Other,Brazil,"1,476"
01-11-2020,Emerging,Other,Brazil,"1,476"
01-12-2020,Emerging,Other,Brazil,"1,476"
01-01-2020,Emerging,Other,Mexico,808
01-02-2020,Emerging,Other,Mexico,808
01-03-2020,Emerging,Other,Mexico,808
01-04-2020,Emerging,Other,Mexico,808
01-05-2020,Emerging,Other,Mexico,808
01-06-2020,Emerging,Other,Mexico,808
01-07-2020,Emerging,Other,Mexico,808
01-08-2020,Emerging,Other,Mexico,808
01-09-2020,Emerging,Other,Mexico,808
01-10-2020,Emerging,Other,Mexico,808
01-11-2020,Emerging,Other,Mexico,808
01-12-2020,Emerging,Other,Mexico,808
01-01-2020,Emerging,Other,USA,"16,250"
01-02-2020,Emerging,Other,USA,"16,250"
01-03-2020,Emerging,Other,USA,"16,250"
01-04-2020,Emerging,Other,USA,"16,250"
01-05-2020,Emerging,Other,USA,"16,250"
01-06-2020,Emerging,Other,USA,"16,250"
01-07-2020,Emerging,Other,USA,"16,250"
01-08-2020,Emerging,Other,USA,"16,250"
01-09-2020,Emerging,Other,USA,"16,250"
01-10-2020,Emerging,Other,USA,"16,250"
01-11-2020,Emerging,Other,USA,"16,250"
01-12-2020,Emerging,Other,USA,"16,250"
01-01-2020,Emerging,Severance,Mexico,"1,809"
01-02-2020,Emerging,Severance,Mexico,"1,809"
01-03-2020,Emerging,Severance,Mexico,"1,809"
01-04-2020,Emerging,Severance,Mexico,"1,809"
01-05-2020,Emerging,Severance,Mexico,"1,809"
01-06-2020,Emerging,Severance,Mexico,"1,809"
01-07-2020,Emerging,Severance,Mexico,"1,809"
01-08-2020,Emerging,Severance,Mexico,"1,809"
01-09-2020,Emerging,Severance,Mexico,"1,809"
01-10-2020,Emerging,Severance,Mexico,"1,809"
01-11-2020,Emerging,Severance,Mexico,"1,809"
01-12-2020,Emerging,Severance,Mexico,"1,809"
01-01-2020,Emerging,Supplies,Brazil,68
01-02-2020,Emerging,Supplies,Brazil,68
01-03-2020,Emerging,Supplies,Brazil,68
01-04-2020,Emerging,Supplies,Brazil,68
01-05-2020,Emerging,Supplies,Brazil,68
01-06-2020,Emerging,Supplies,Brazil,68
01-07-2020,Emerging,Supplies,Brazil,68
01-08-2020,Emerging,Supplies,Brazil,68
01-09-2020,Emerging,Supplies,Brazil,68
01-10-2020,Emerging,Supplies,Brazil,68
01-11-2020,Emerging,Supplies,Brazil,68
01-12-2020,Emerging,Supplies,Brazil,68
01-01-2020,Emerging,Supplies,Mexico,24
01-02-2020,Emerging,Supplies,Mexico,24
01-03-2020,Emerging,Supplies,Mexico,24
01-04-2020,Emerging,Supplies,Mexico,24
01-05-2020,Emerging,Supplies,Mexico,24
01-06-2020,Emerging,Supplies,Mexico,24
01-07-2020,Emerging,Supplies,Mexico,24
01-08-2020,Emerging,Supplies,Mexico,24
01-09-2020,Emerging,Supplies,Mexico,24
01-10-2020,Emerging,Supplies,Mexico,24
01-11-2020,Emerging,Supplies,Mexico,24
01-12-2020,Emerging,Supplies,Mexico,24
01-01-2020,Emerging,Taxes,Mexico,40
01-02-2020,Emerging,Taxes,Mexico,40
01-03-2020,Emerging,Taxes,Mexico,40
01-04-2020,Emerging,Taxes,Mexico,40
01-05-2020,Emerging,Taxes,Mexico,40
01-06-2020,Emerging,Taxes,Mexico,40
01-07-2020,Emerging,Taxes,Mexico,40
01-08-2020,Emerging,Taxes,Mexico,40
01-09-2020,Emerging,Taxes,Mexico,40
01-10-2020,Emerging,Taxes,Mexico,40
01-11-2020,Emerging,Taxes,Mexico,40
01-12-2020,Emerging,Taxes,Mexico,40
01-01-2020,Emerging,Telecomm,Brazil,"2,442"
01-02-2020,Emerging,Telecomm,Brazil,"2,442"
01-03-2020,Emerging,Telecomm,Brazil,"2,442"
01-04-2020,Emerging,Telecomm,Brazil,"2,442"
01-05-2020,Emerging,Telecomm,Brazil,"2,442"
01-06-2020,Emerging,Telecomm,Brazil,"2,442"
01-07-2020,Emerging,Telecomm,Brazil,"2,442"
01-08-2020,Emerging,Telecomm,Brazil,"2,442"
01-09-2020,Emerging,Telecomm,Brazil,"2,442"
01-10-2020,Emerging,Telecomm,Brazil,"2,442"
01-11-2020,Emerging,Telecomm,Brazil,"2,442"
01-12-2020,Emerging,Telecomm,Brazil,"2,442"
01-01-2020,Emerging,Telecomm,USA,105
01-02-2020,Emerging,Telecomm,USA,105
01-03-2020,Emerging,Telecomm,USA,105
01-04-2020,Emerging,Telecomm,USA,105
01-05-2020,Emerging,Telecomm,USA,105
01-06-2020,Emerging,Telecomm,USA,105
01-07-2020,Emerging,Telecomm,USA,105
01-08-2020,Emerging,Telecomm,USA,105
01-09-2020,Emerging,Telecomm,USA,105
01-10-2020,Emerging,Telecomm,USA,105
01-11-2020,Emerging,Telecomm,USA,105
01-12-2020,Emerging,Telecomm,USA,105
01-01-2020,Emerging,Training,Mexico,858
01-02-2020,Emerging,Training,Mexico,858
01-03-2020,Emerging,Training,Mexico,858
01-04-2020,Emerging,Training,Mexico,858
01-05-2020,Emerging,Training,Mexico,858
01-06-2020,Emerging,Training,Mexico,858
01-07-2020,Emerging,Training,Mexico,858
01-08-2020,Emerging,Training,Mexico,858
01-09-2020,Emerging,Training,Mexico,858
01-10-2020,Emerging,Training,Mexico,858
01-11-2020,Emerging,Training,Mexico,858
01-12-2020,Emerging,Training,Mexico,858
01-01-2020,Emerging,Training,USA,19
01-02-2020,Emerging,Training,USA,19
01-03-2020,Emerging,Training,USA,19
01-04-2020,Emerging,Training,USA,19
01-05-2020,Emerging,Training,USA,19
01-06-2020,Emerging,Training,USA,19
01-07-2020,Emerging,Training,USA,19
01-08-2020,Emerging,Training,USA,19
01-09-2020,Emerging,Training,USA,19
01-10-2020,Emerging,Training,USA,19
01-11-2020,Emerging,Training,USA,19
01-12-2020,Emerging,Training,USA,19
01-02-2020,Emerging,Travel,Brazil,900
01-05-2020,Emerging,Travel,Brazil,900
01-08-2020,Emerging,Travel,Brazil,900
01-01-2020,Emerging,Travel,Mexico,"2,168"
01-02-2020,Emerging,Travel,Mexico,"2,168"
01-03-2020,Emerging,Travel,Mexico,"2,168"
01-04-2020,Emerging,Travel,Mexico,"2,168"
01-05-2020,Emerging,Travel,Mexico,"2,168"
01-06-2020,Emerging,Travel,Mexico,"2,168"
01-07-2020,Emerging,Travel,Mexico,"2,168"
01-08-2020,Emerging,Travel,Mexico,"2,168"
01-09-2020,Emerging,Travel,Mexico,"2,168"
01-10-2020,Emerging,Travel,Mexico,"2,168"
01-11-2020,Emerging,Travel,Mexico,"2,168"
01-12-2020,Emerging,Travel,Mexico,"2,168"
01-01-2020,Emerging,Travel,USA,"2,350"
01-02-2020,Emerging,Travel,USA,"2,350"
01-03-2020,Emerging,Travel,USA,"2,350"
01-04-2020,Emerging,Travel,USA,"2,350"
01-05-2020,Emerging,Travel,USA,"2,350"
01-06-2020,Emerging,Travel,USA,"2,350"
01-07-2020,Emerging,Travel,USA,"2,350"
01-08-2020,Emerging,Travel,USA,"2,350"
01-09-2020,Emerging,Travel,USA,"2,350"
01-10-2020,Emerging,Travel,USA,"2,350"
01-11-2020,Emerging,Travel,USA,"2,350"
01-12-2020,Emerging,Travel,USA,"2,350"
01-01-2020,Emerging,Vehicles,Mexico,324
01-02-2020,Emerging,Vehicles,Mexico,130
01-03-2020,Emerging,Vehicles,Mexico,130
01-04-2020,Emerging,Vehicles,Mexico,324
01-05-2020,Emerging,Vehicles,Mexico,130
01-06-2020,Emerging,Vehicles,Mexico,130
01-07-2020,Emerging,Vehicles,Mexico,324
01-08-2020,Emerging,Vehicles,Mexico,130
01-09-2020,Emerging,Vehicles,Mexico,130
01-10-2020,Emerging,Vehicles,Mexico,324
01-11-2020,Emerging,Vehicles,Mexico,130
01-12-2020,Emerging,Vehicles,Mexico,130
01-01-2020,Enterprise Capabilities,External Labor,United Kingdom,"6,700"
01-02-2020,Enterprise Capabilities,External Labor,United Kingdom,"6,700"
01-01-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-02-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-03-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-04-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-05-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-06-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-07-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-08-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-09-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-10-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-11-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-12-2020,Enterprise Capabilities,Internal Labor,United Kingdom,"16,350"
01-09-2020,Enterprise Capabilities,Software Maintenance,United Kingdom,"11,226"
01-01-2020,GRC,Employee Performance,USA,7
01-02-2020,GRC,Employee Performance,USA,7
01-03-2020,GRC,Employee Performance,USA,7
01-04-2020,GRC,Employee Performance,USA,7
01-05-2020,GRC,Employee Performance,USA,7
01-06-2020,GRC,Employee Performance,USA,7
01-07-2020,GRC,Employee Performance,USA,7
01-08-2020,GRC,Employee Performance,USA,7
01-09-2020,GRC,Employee Performance,USA,7
01-10-2020,GRC,Employee Performance,USA,7
01-11-2020,GRC,Employee Performance,USA,7
01-12-2020,GRC,Employee Performance,USA,7
01-01-2020,GRC,External Labor,Germany,"14,815"
01-02-2020,GRC,External Labor,Germany,"14,815"
01-03-2020,GRC,External Labor,Germany,"14,815"
01-04-2020,GRC,External Labor,Germany,"14,815"
01-05-2020,GRC,External Labor,Germany,"14,815"
01-06-2020,GRC,External Labor,Germany,"14,815"
01-07-2020,GRC,External Labor,Germany,"14,815"
01-08-2020,GRC,External Labor,Germany,"14,815"
01-09-2020,GRC,External Labor,Germany,"14,815"
01-10-2020,GRC,External Labor,Germany,"14,815"
01-11-2020,GRC,External Labor,Germany,"14,815"
01-12-2020,GRC,External Labor,Germany,"14,815"
01-01-2020,GRC,External Labor,Italy,"8,045"
01-02-2020,GRC,External Labor,Italy,"8,045"
01-03-2020,GRC,External Labor,Italy,"8,045"
01-04-2020,GRC,External Labor,Italy,"8,045"
01-05-2020,GRC,External Labor,Italy,"8,045"
01-06-2020,GRC,External Labor,Italy,"8,045"
01-07-2020,GRC,External Labor,Italy,"7,183"
01-08-2020,GRC,External Labor,Italy,"7,183"
01-09-2020,GRC,External Labor,Italy,"7,183"
01-10-2020,GRC,External Labor,Italy,"7,183"
01-11-2020,GRC,External Labor,Italy,"7,183"
01-12-2020,GRC,External Labor,Italy,"7,183"
01-01-2020,GRC,External Labor,Spain,"1,916"
01-02-2020,GRC,External Labor,Spain,"1,916"
01-03-2020,GRC,External Labor,Spain,"1,916"
01-04-2020,GRC,External Labor,Spain,"1,916"
01-05-2020,GRC,External Labor,Spain,"1,916"
01-06-2020,GRC,External Labor,Spain,"1,916"
01-07-2020,GRC,External Labor,Spain,"1,916"
01-08-2020,GRC,External Labor,Spain,"1,916"
01-09-2020,GRC,External Labor,Spain,"1,916"
